Soru_No,Baslik,Aciklama_No,Aciklama_Metin,Ornek_Metin,Yorum,Soru,Sik_A,Sik_B,Sik_C,Sik_D,Dogru_Cevap
155,Madde 28 8 saniye,28-6,"Açıklama: 8 saniye periyodu, kalan süre ile devam ettiğinde ve daha önce topu kontrol eden aynı takıma geri sahasından topu oyuna sokma hakkı verildiğinde hakem topu, oyuna sokacak olan oyuncuya verirken, 8 saniye periyodunda kalan süreyi topu oyuna sokacak olan oyuncuya bildirecektir.","B1 topu, A takımının geri sahasında saha dışına tiplediğinde A1, geri sahasında 4 saniye dripling yapmıştır.","Oyun A takımı tarafından kendi geri sahasında, topun saha dışına çıktığı en yakın yerden topu oyuna sokmasıyla devam edecektir. Hakem, A takımının topu oyuna sokacak olan oyuncusuna topu ön sahasına götürebilmesi için 4 saniyesi olduğunu bildirecektir.","A1 oyuncusu, geri sahasında 4 saniye boyunca dripling yaptıktan sonra, B1 oyuncusu topu A takımının geri sahasında saha dışına tipliyor. Oyun bu durumda nasıl devam eder?","Hakem, A takımının oyuna sokacak oyuncusuna topu ön sahasına götürebilmesi için 4 saniyesi olduğunu bildirir.","Hakem, A takımının oyuna sokacak oyuncusuna topu ön sahasına götürebilmesi için 8 saniyesi olduğunu bildirir.","Hakem, B takımına topu oyuna sokma hakkı verir.","Hakem, A takımının oyuna sokacak oyuncusuna süre kısıtlaması olmadan topu ön sahasına götürebileceğini bildirir.",A
156,Madde 28 8 saniye,28-9,"Açıklama: Oyun, bir hakem tarafından her iki takımı da ilgilendirmeyen herhangi bir geçerli nedenle durdurulursa ve hakemlerin değerlendirmesine göre rakipler dezavantajlı bir duruma düşerse, 8 saniye süresi devam edecektir.","Dördüncü çeyrekte oyun saatinde 25 saniye kala ve skor A 72 – B 72 iken A takımı topun kontrolünü kazanır. Oyun, hakemler tarafından aşağıdaki nedenlerle durdurulduğunda A1 4 saniye boyunca kendi geri sahasında dripling yapmıştır: (a) Oyun saati ya da şut saati çalışmadığı ya da başlamadığı için. (b) Sahaya bir şişe atıldığı için. (c) Şut saati yanlışlıkla başa alındığı için.","Tüm durumlarda oyun, A takımının kendi geri sahasından 8 saniye periyodunda 4 saniye süre kalacak şekilde topu oyuna sokmasıyla devam edecektir. Eğer oyun, yeni bir 8 saniye periyodu süresi ile devam ettirilirse, B takımı dezavantajlı duruma düşecektir.","Dördüncü çeyrekte oyun saatinde 25 saniye kala ve skor A 72 – B 72 iken A takımı topun kontrolünü kazanır. Oyun, hakemler tarafından aşağıdaki nedenlerle durdurulduğunda A1 4 saniye boyunca kendi geri sahasında dripling yapmıştır: (a) Oyun saati ya da şut saati çalışmadığı ya da başlamadığı için. (b) Sahaya bir şişe atıldığı için. (c) Şut saati yanlışlıkla başa alındığı için. Bu durumda oyun nasıl devam etmelidir?",A takımının kendi geri sahasından 8 saniye periyodunda 4 saniye süre kalacak şekilde topu oyuna sokmasıyla devam eder.,A takımının yeni bir 8 saniye süresi ile devam etmesi gerekir.,B takımı topu oyuna sokarak devam eder.,"Oyun, A takımının geri sahasından 8 saniye süresi sıfırlanarak devam eder.",A
157,Madde 28 8 saniye,28-11,"Açıklama: 8 saniye periyodu ihlalinden sonra topu oyuna sokma yeri, ihlalin meydana geldiği andaki yere göre belirlenir.","A takımının 8 saniye periyodu aşağıdaki durumlarda sona erer ve ihlal meydana gelir. (a) A takımı topu, geri sahasında kontrol ederken. (b) Top, A1’in pasında, kendi geri sahasından ön sahasına doğru giderken havadadır.","B takımının topu oyuna sokması, kendi ön sahasındaki; (a) Doğrudan arkalığın arkası hariç, 8 saniye ihlali meydana geldiğinde topun olduğu yerden. (b) Orta çizgiye en yakın yerden yapılacaktır. B takımının şut saatinde 14 saniyesi olacaktır.",A takımının 8 saniye periyodu hangi durumlarda sona erer ve ihlal meydana gelir?,"A takımı topu, geri sahasında kontrol ederken.","Top, A1’in pasında, kendi geri sahasından ön sahasına doğru giderken havadadır.","A takımı topu, ön sahasında kontrol ederken.","Top, B takımının ön sahasına doğru giderken havadadır.",A
158,Madde 29/50 Şut saati,29/50-1,"Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.","Şut saati sesli işaret verdiğinde A1’in sayı amacıyla attığı şut havadadır. Top arkalığa temas eder ve sonra sahada yuvarlanır, topa önce B1, sonra da A2 tarafından temas edilir ve sonunda B2 tarafından top kontrol edilir.","Bu, A takımı tarafından yapılan bir şut saati ihlalidir. A1’in sahadan attığı şutta top çembere temas etmemiştir ve B takımı hemen ve açık bir şekilde topun kontrolünü kazanamamıştır.","Şut saati sesli işaret verdiğinde A1’in sayı amacıyla attığı şut havadadır. Top arkalığa temas eder ve sonra sahada yuvarlanır, topa önce B1, sonra da A2 tarafından temas edilir ve sonunda B2 tarafından top kontrol edilir. Bu durumda ne olmalıdır?","Bu, A takımı tarafından yapılan bir şut saati ihlalidir.",B takımı hemen ve açık bir şekilde topun kontrolünü sağladığı için şut saati ihlali yoktur.,Top arkalığa temas ettiği için şut saati ihlali geçersiz sayılır.,A2 topa temas ettiği için şut saati yeniden başlatılır.,A
159,Madde 29/50 Şut saati,29/50-1,"Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.","A1’in sayı amacıyla attığı şut sırasında top arkalığa temas eder ancak çembere temas etmez. Daha sonra B1 tarafından topa temas edilir ancak kontrol edilemez, ardından A2 topun kontrolünü kazanır. Bu sırada şut saati sesli işaret verir.","Bu, A takımı tarafından yapılan bir şut saati ihlalidir.","A1’in sayı amacıyla attığı şut sırasında top arkalığa temas eder ancak çembere temas etmez. Daha sonra B1 tarafından topa temas edilir ancak kontrol edilemez, ardından A2 topun kontrolünü kazanır. Bu sırada şut saati sesli işaret verir. Bu durumda ne olur?",A takımı tarafından yapılan bir şut saati ihlali olur.,Şut saati ihlali olmaz ve A2'nin topu kontrol etmesiyle oyun devam eder.,B1 topu kontrol edemediği için B takımı ihlal yapmış olur.,A1'in şutu çembere temas etmediği için top otomatik olarak B takımına geçer.,A
160,Madde 29/50 Şut saati,29/50-1,"Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.","Bir şut saati periyodunun sonunda A1’in sayı amacıyla attığı şut sırasında, B1 tarafından kurallara uygun olarak blok yapılır. Şut saati sesli işaret verir. Sesli işaretten sonra B1, A1'e faul yapar.","Bu, A takımı tarafından yapılan bir şut saati ihlalidir. B1'in A1’e karşı yaptığı faul, sportmenlik dışı ya da diskalifiye edici faul olmadıkça dikkate alınmayacaktır.","Bir şut saati periyodunun sonunda A1’in sayı amacıyla attığı şut sırasında, B1 tarafından kurallara uygun olarak blok yapılır. Şut saati sesli işaret verir. Sesli işaretten sonra B1, A1'e faul yaparsa bu durumda ne olur?","Bu, A takımı tarafından yapılan bir şut saati ihlalidir ve B1'in faulü dikkate alınmayacaktır.","Bu, B takımı tarafından yapılan bir fauldür ve A1 serbest atış kullanacaktır.","Bu, sportmenlik dışı bir fauldür ve A1'e iki serbest atış verilecektir.","Bu, diskalifiye edici bir fauldür ve B1 oyundan atılacaktır.",A
161,Madde 29/50 Şut saati,29/50-1,"Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.",Şut saati sesli işaret verdiğinde A1’in sayı amacıyla attığı şut havadadır. Top çembere temas etmez ve daha sonrasında; (a) A2 ile B2 arasında tutulmuş top kararı verilir. (b) B1 topu saha dışına tipler.,"Her iki durumda da bu, A takımı tarafından yapılan bir şut saati ihlalidir. B takımı hemen ve açık bir şekilde topun kontrolünü kazanamamıştır.",Şut saati sesli işaret verdiğinde A1’in sayı amacıyla attığı şut havadadır. Top çembere temas etmez ve daha sonrasında; (a) A2 ile B2 arasında tutulmuş top kararı verilir. (b) B1 topu saha dışına tipler. Bu durumda ne olur?,"B takımı hemen ve açık bir şekilde topun kontrolünü kazanmıştır, oyun devam eder.","A takımı tarafından yapılan bir şut saati ihlalidir, top B takımına verilir.",Top çembere temas etmediği için A takımı lehine faul çalınır.,Tutulmuş top kararı nedeniyle top hava atışı ile oyuna sokulur.,B
162,Madde 29/50 Şut saati,29/50-1,"Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.","B1, sayı amacıyla atış halinde olan A1'e faul yapar ve hemen hemen aynı anda şut saati süresi dolmuştur. Top çemberden içeri girer. Eğer ; (a) Top hala A1'in ellerindeyken ve B1'in faulü şut saati dolmadan önce gerçekleştiyse, veya (b) Top A1’in sayı amacıyla attığı şutta havadayken ve B1'in faulü şut saati dolmadan önce gerçekleştiyse, ya da (c) Top A1’in sayı amacıyla attığı şutta havadayken ve B1'in faulü şut saati dolduktan sonra gerçekleştiyse Bu bir şut saati ihlali değildir. A1'in sayısı geçerli olacaktır. A1, 1 ek serbest atış kullanacaktır. Oyun, herhangi bir son serbest atış sonrası olduğu gibi devam edecektir. (d) Top hala A1'in ellerindeyken ve B1'in faulü şut saati dolduktan sonra gerçekleştiyse Bu bir şut saati ihlalidir. A1'in sayısı geçerli sayılmayacaktır. B1'in faulü sportmenlik dışı veya diskalifiye edici bir faul olmadıkça dikkate alınmayacaktır. Oyun, B takımı tarafından serbest atış çizgisi uzantısından topu oyuna sokmasıyla devam edecektir.",,"B1, sayı amacıyla atış halinde olan A1'e faul yapar ve hemen hemen aynı anda şut saati süresi dolmuştur. Top çemberden içeri girer. Eğer top hala A1'in ellerindeyken ve B1'in faulü şut saati dolduktan sonra gerçekleştiyse ne olur?","A1'in sayısı geçerli sayılacaktır ve A1, 1 ek serbest atış kullanacaktır.",Bu bir şut saati ihlalidir. A1'in sayısı geçerli sayılmayacaktır. B1'in faulü dikkate alınmayacaktır.,Bu bir şut saati ihlali değildir. A1'in sayısı geçerli olacaktır.,A1'in sayısı geçerli sayılacaktır ve oyun B takımı tarafından serbest atış çizgisi uzantısından topu oyuna sokmasıyla devam edecektir.,B
163,Madde 29/50 Şut saati,29/50-1,"Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.","Oyun saatinde 25.2 saniye kala A takımı topun kontrolünü kazanır. Şut saatinde 1 saniye varken A1, sayı amacıyla bir şut girişiminde bulunur. Top havadayken şut saati sesli işaret verir. Top çembere temas etmez ve (a) 1.2 saniye daha geçtikten sonra oyun saati, çeyreğin sonu için sesli işaret verir. (b) A2 ribaund sırasında topu yakalar. Hakem, oyun saati 0.8 saniye gösterirken ihlali çalar.","(a) Bu, A takımının bir şut saati ihlali değildir. Hakem, B takımının topun kontrolünü hemen ve açık bir şekilde kazanıp kazanmadığını görmek için beklerken ihlali çalmamıştır. Çeyrek sona ermiştir. (b) Bu, A takımının şut saati ihlalidir. Oyun, oyun saatinde 0.8 saniyeyle oyunun durdurulduğu en yakın yerden B takımının topu oyuna sokmasıyla devam edecektir.","Oyun saatinde 25.2 saniye kala A takımı topun kontrolünü kazanır. Şut saatinde 1 saniye varken A1, sayı amacıyla bir şut girişiminde bulunur. Top havadayken şut saati sesli işaret verir. Top çembere temas etmez ve (a) 1.2 saniye daha geçtikten sonra oyun saati, çeyreğin sonu için sesli işaret verir. (b) A2 ribaund sırasında topu yakalar. Hakem, oyun saati 0.8 saniye gösterirken ihlali çalar. Bu durumda ne doğrudur?","Bu, A takımının bir şut saati ihlalidir. Oyun, oyun saatinde 0.8 saniyeyle oyunun durdurulduğu en yakın yerden B takımının topu oyuna sokmasıyla devam edecektir.","Bu, A takımının bir şut saati ihlali değildir. Hakem, B takımının topun kontrolünü hemen ve açık bir şekilde kazanıp kazanmadığını görmek için beklerken ihlali çalmamıştır. Çeyrek sona ermiştir.","Bu, A takımının bir şut saati ihlalidir. Oyun saatinde, top B takımı tarafından oyuna sokulmadan çeyrek sona erer.","Bu, A takımının bir şut saati ihlali değildir. A2'nin ribaund almasıyla oyun devam eder.",A
164,Madde 29/50 Şut saati,29/50-1,"Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.","Oyun saatinde 25.2 saniye kala A takımı topun kontrolünü kazanır. Oyun saatinde 1.2 saniye varken ve top A1’in el ya da ellerindeyken şut saati sesli işaret verir. Hakem, oyun saati 0.8 saniye gösterirken ihlali çalar.","Bu, A takımı tarafından yapılan bir şut saati ihlalidir. İhlal, oyun saatinde 1.2 saniye varken gerçekleştiğinden hakemler oyun saatini düzeltmeye karar verirler. Oyun, oyun saatinde 1.2 saniyeyle oyunun durdurulduğu en yakın yerden B takımının topu oyuna sokmasıyla devam edecektir.","Oyun saatinde 25.2 saniye kala A takımı topun kontrolünü kazanır. Oyun saatinde 1.2 saniye varken ve top A1’in el ya da ellerindeyken şut saati sesli işaret verir. Hakem, oyun saati 0.8 saniye gösterirken ihlali çalar. Bu durumda ne yapılmalıdır?","Hakem, oyun saatini durdurur ve oyuna 0.8 saniyeden devam edilir.","Şut saati ihlali nedeniyle oyun, oyun saatinde 1.2 saniye varken B takımının topu oyuna sokmasıyla devam eder.","Hakem, ihlali göz ardı eder ve oyun devam eder.","Oyun, 0.8 saniyede B takımının serbest atışı ile devam eder.",B
165,Madde 29/50 Şut saati,29/50-9,"Açıklama: Şut saati sesli işaret verirse ve hakemlerin değerlendirmesine göre rakipler, hemen ve açık bir şekilde topun kontrolünü kazanırsa, şut saati sesli işareti dikkate alınmayacaktır. Oyun devam edecektir.","Şut saati periyodunun sonuna yakın, A1’in pası A2 tarafından alınamaz (her iki oyuncu da kendi ön sahalarındadır) ve top A takımının geri sahasına yuvarlanır. Sepete doğru serbest bir yolu olan B1, topun kontrolünü elde etmeden önce şut saati sesli işaret verir.","Eğer B1, hemen ve açık bir şekilde topun kontrolünü kazanırsa, sesli işaret dikkate alınmayacaktır. Oyun devam edecektir.","A takımının ön sahasında A1’in pası A2 tarafından alınamaz ve top A takımının geri sahasına yuvarlanır. Sepete doğru serbest bir yolu olan B1, topun kontrolünü elde etmeden önce şut saati sesli işaret verir. Bu durumda ne olur?","B1, hemen ve açık bir şekilde topun kontrolünü kazanırsa, oyun devam eder.",Şut saati sesli işareti verildiği için oyun durdurulur ve B takımının topu tekrar başlaması sağlanır.,Şut saati sesli işareti dikkate alınır ve top A takımına geri verilir.,"B1, topun kontrolünü kazanırsa bile oyun durdurulur ve şut saati sıfırlanır.",A
166,Madde 29/50 Şut saati,29/50-11,"Açıklama: Topu kontrol eden bir takıma pozisyon sırasına topu oyuna sokma hakkı verilirse, bu takımın sadece, hava atışı durumu oluştuğunda şut saatinde kalan süre kadar zamanı olacaktır.","A takımı, bir hava atışı durumu meydana geldiğinde şut saatinde10 saniyeyle, kendi ön sahasında topu kontrol etmektedir. Pozisyon sırasına göre topu oyuna sokma hakkı: (a) A takımındadır. (b) B takımındadır.",(a) A takımının şut saatinde 10 saniyesi olacaktır. (b) B takımının şut saatinde 24 saniyesi olacaktır.,"A takımı, bir hava atışı durumu meydana geldiğinde şut saatinde 10 saniyeyle, kendi ön sahasında topu kontrol etmektedir. Pozisyon sırasına göre topu oyuna sokma hakkı hangi takımdadır ve bu takıma ne kadar süre verilir?","A takımı, şut saatinde 10 saniyesi olacaktır.","A takımı, şut saatinde 24 saniyesi olacaktır.","B takımı, şut saatinde 10 saniyesi olacaktır.","B takımı, şut saatinde 24 saniyesi olacaktır.",A
167,Madde 29/50 Şut saati,29/50-13,"Açıklama: Eğer oyun, bir hakem tarafından topu kontrol etmeyen takımın yaptığı bir faul ya da ihlal (topun saha dışına çıkma durumu hariç) için durdurulursa ve topu oyuna sokma hakkı, önceden topu ön sahada kontrol eden aynı takımdaysa, şut saati aşağıdaki gibi ayarlanacaktır. • Oyun durdurulduğu zaman şut saati14 saniye ya da daha fazla gösteriyorsa şut saati, kalan süre ile devam edecektir. • Oyun durdurulduğu zaman şut saati13 saniye ya da daha az gösteriyorsa o takımın şut saatinde 14 saniyesi olacaktır.","Şut saati 8 saniye göstermektedir ve A1 ön sahada dripling yaparken, (a) B1, A takımının ön sahasında, topu sahanın dışına doğru tipler. (b) B1, A1’e faul yapar. Bu, B takımının o çeyrekteki ikinci takım faulüdür.","Oyun, A takımı tarafından ön sahada topu oyuna sokmasıyla devam edecektir ve A takımının şut saatinde, (a) 8 saniyesi (b) 14 saniyesi olacaktır.","Şut saati 8 saniye göstermektedir ve A1 ön sahada dripling yaparken, (a) B1, A takımının ön sahasında, topu sahanın dışına doğru tipler. (b) B1, A1’e faul yapar. Bu, B takımının o çeyrekteki ikinci takım faulüdür. Oyun nasıl devam edecektir?","A takımı, ön sahada topu oyuna sokacak ve şut saatinde 8 saniyesi olacaktır.","A takımı, ön sahada topu oyuna sokacak ve şut saatinde 14 saniyesi olacaktır.","A takımı, ön sahada topu oyuna sokacak ve şut saatinde 24 saniyesi olacaktır.","A takımı, ön sahada topu oyuna sokacak ve şut saatinde 10 saniyesi olacaktır.",B
168,Madde 29/50 Şut saati,29/50-13,"Açıklama: Eğer oyun, bir hakem tarafından topu kontrol etmeyen takımın yaptığı bir faul ya da ihlal (topun saha dışına çıkma durumu hariç) için durdurulursa ve topu oyuna sokma hakkı, önceden topu ön sahada kontrol eden aynı takımdaysa, şut saati aşağıdaki gibi ayarlanacaktır. • Oyun durdurulduğu zaman şut saati14 saniye ya da daha fazla gösteriyorsa şut saati, kalan süre ile devam edecektir. • Oyun durdurulduğu zaman şut saati13 saniye ya da daha az gösteriyorsa o takımın şut saatinde 14 saniyesi olacaktır.","A takımı, şut saatinde 4 saniyeyle ön sahasındaki topu kontrol ederken, (a) A1, veya (b) B1 sakatlanır. Hakemler oyunu durdurur.","A takımının şut saatinde: (a) 4 saniyesi, (b) 14 saniyesi olacaktır.","A takımı, şut saatinde 4 saniyeyle ön sahasındaki topu kontrol ederken, (a) A1, veya (b) B1 sakatlanır. Hakemler oyunu durdurur. Bu durumda A takımının şut saatinde kaç saniye olacaktır?",4 saniye,14 saniye,24 saniye,10 saniye,A
169,Madde 29/50 Şut saati,29/50-13,"Açıklama: Eğer oyun, bir hakem tarafından topu kontrol etmeyen takımın yaptığı bir faul ya da ihlal (topun saha dışına çıkma durumu hariç) için durdurulursa ve topu oyuna sokma hakkı, önceden topu ön sahada kontrol eden aynı takımdaysa, şut saati aşağıdaki gibi ayarlanacaktır. • Oyun durdurulduğu zaman şut saati14 saniye ya da daha fazla gösteriyorsa şut saati, kalan süre ile devam edecektir. • Oyun durdurulduğu zaman şut saati13 saniye ya da daha az gösteriyorsa o takımın şut saatinde 14 saniyesi olacaktır.","Şut saatinde 6 saniye kala A2 ile B2 arasında çift faul meydana geldiğinde top, A1’in sayı amacıyla attığı şut sırasında havadadır. Pozisyon sırasına oku A takımı göstermektedir. (a) Top çembere temas etmez. (b) Top çembere temas eder.","A takımının şut saatinde, (a) 6 saniyesi (b) 14 saniyesi olacaktır.","Şut saatinde 6 saniye kala A2 ile B2 arasında çift faul meydana geldiğinde top, A1’in sayı amacıyla attığı şut sırasında havadadır. Pozisyon sırasına oku A takımı göstermektedir. Top çembere temas etmezse ve top çembere temas ederse A takımının şut saatinde kaç saniyesi olacaktır?",(a) 6 saniyesi (b) 14 saniyesi olacaktır.,(a) 14 saniyesi (b) 14 saniyesi olacaktır.,(a) 14 saniyesi (b) 6 saniyesi olacaktır.,(a) 6 saniyesi (b) 6 saniyesi olacaktır.,A
170,Madde 29/50 Şut saati,29/50-13,"Açıklama: Eğer oyun, bir hakem tarafından topu kontrol etmeyen takımın yaptığı bir faul ya da ihlal (topun saha dışına çıkma durumu hariç) için durdurulursa ve topu oyuna sokma hakkı, önceden topu ön sahada kontrol eden aynı takımdaysa, şut saati aşağıdaki gibi ayarlanacaktır. • Oyun durdurulduğu zaman şut saati14 saniye ya da daha fazla gösteriyorsa şut saati, kalan süre ile devam edecektir. • Oyun durdurulduğu zaman şut saati13 saniye ya da daha az gösteriyorsa o takımın şut saatinde 14 saniyesi olacaktır.","Şut saatinde 5 saniye kala, B1’e bir teknik faul ve sonrasında A takımı başantrenörüne de bir teknik faul çalındığında A1 dripling yapmaktadır.",Eşit cezaların iptalinden sonra oyun A takımının topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 5 saniyesi olacaktır.,"Şut saatinde 5 saniye kala, B1'e bir teknik faul ve sonrasında A takımı başantrenörüne de bir teknik faul çalındığında A1 dripling yapmaktadır. Oyun nasıl devam etmelidir?",Eşit cezaların iptalinden sonra oyun A takımının topu oyuna sokmasıyla devam edecek ve A takımının şut saatinde 5 saniyesi olacaktır.,Eşit cezaların iptalinden sonra oyun B takımının topu oyuna sokmasıyla devam edecek ve B takımının şut saatinde 24 saniyesi olacaktır.,Eşit cezaların iptalinden sonra oyun A takımının topu oyuna sokmasıyla devam edecek ve A takımının şut saatinde 14 saniyesi olacaktır.,Eşit cezaların iptalinden sonra oyun B takımının topu oyuna sokmasıyla devam edecek ve şut saati sıfırlanacaktır.,A
171,Madde 29/50 Şut saati,29/50-13,"Açıklama: Eğer oyun, bir hakem tarafından topu kontrol etmeyen takımın yaptığı bir faul ya da ihlal (topun saha dışına çıkma durumu hariç) için durdurulursa ve topu oyuna sokma hakkı, önceden topu ön sahada kontrol eden aynı takımdaysa, şut saati aşağıdaki gibi ayarlanacaktır. • Oyun durdurulduğu zaman şut saati14 saniye ya da daha fazla gösteriyorsa şut saati, kalan süre ile devam edecektir. • Oyun durdurulduğu zaman şut saati13 saniye ya da daha az gösteriyorsa o takımın şut saatinde 14 saniyesi olacaktır.","Şut saati: (a) 16 saniye veya (b) 12 saniye, gösterirken, geri sahasındaki B1, topa bilerek ayağıyla tekme attığında ya da yumruğuyla topa vurduğunda A1, A takımının ön sahasında bulunan A2’ye pas atmaktadır","Her iki durumda da bu, topa bilerek ayağıyla tekme attığından ya da topa yumruğuyla vurduğundan dolayı B1’in ihlalidir. Oyun, şut saati, (a) 16 saniye (b) 14 saniye gösterecek şekilde A takımı tarafından, ön sahasından topu oyuna sokmasıyla devam edecektir.","Şut saati: (a) 16 saniye veya (b) 12 saniye, gösterirken, geri sahasındaki B1, topa bilerek ayağıyla tekme attığında ya da yumruğuyla topa vurduğunda A1, A takımının ön sahasında bulunan A2’ye pas atmaktadır. Bu durumda oyun nasıl devam edecektir?","Oyun, şut saati (a) 16 saniye (b) 14 saniye göstererek A takımı tarafından ön sahasından topu oyuna sokmasıyla devam edecektir.","Oyun, şut saati sıfırlanarak A takımı tarafından ön sahasından topu oyuna sokmasıyla devam edecektir.","Oyun, şut saati (a) 14 saniye (b) 12 saniye göstererek A takımı tarafından ön sahasından topu oyuna sokmasıyla devam edecektir.","Oyun, şut saati (a) 24 saniye (b) 24 saniye göstererek A takımı tarafından ön sahasından topu oyuna sokmasıyla devam edecektir.",A
172,Madde 29/50 Şut saati,29/50-13,"Açıklama: Eğer oyun, bir hakem tarafından topu kontrol etmeyen takımın yaptığı bir faul ya da ihlal (topun saha dışına çıkma durumu hariç) için durdurulursa ve topu oyuna sokma hakkı, önceden topu ön sahada kontrol eden aynı takımdaysa, şut saati aşağıdaki gibi ayarlanacaktır. • Oyun durdurulduğu zaman şut saati14 saniye ya da daha fazla gösteriyorsa şut saati, kalan süre ile devam edecektir. • Oyun durdurulduğu zaman şut saati13 saniye ya da daha az gösteriyorsa o takımın şut saatinde 14 saniyesi olacaktır.","Şut saatinde 6 saniye kala B2, A2’ye bir sportmenlik dışı faul yaptığında A1, kendi ön sahasında dripling yapmaktadır.","A2’nin kimse dizilmeden kullandığı 2 serbest atış sonrasında, atışların başarılı olup olmadığına bakılmaksızın oyun, A takımı tarafından ön sahasındaki topu oyuna sokma çizgisinden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde 14 saniyesi olacaktır. Aynı yorum diskalifiye edici faul için de geçerlidir.","Şut saatinde 6 saniye kala B2, A2’ye bir sportmenlik dışı faul yaptığında A1, kendi ön sahasında dripling yapmaktadır. Bu durumda A takımının şut saati nasıl ayarlanacaktır?",A takımının şut saatinde 14 saniyesi olacaktır.,A takımının şut saatinde 6 saniyesi kalacaktır.,A takımının şut saati sıfırlanacaktır.,A takımının şut saatinde 24 saniyesi olacaktır.,A
